accuracy,avg_evidence_recall,avg_official_score,avg_ppl,avg_primary_score,avg_tokens_per_second,contains_ground_truth,context_length,method,n,official_accuracy
1.0,0.0,100.0,5.474189297209332,100.0,22.001406549872346,1.0,15687,l2_key_prefill_only,27,1.0
1.0,0.0,100.0,6.01332372286232,100.0,21.472442646830146,1.0,15690,l2_key_prefill_only,9,1.0
1.0,0.0,100.0,6.077287241921046,100.0,20.877182961760962,1.0,15693,l2_key_prefill_only,6,1.0
1.0,0.0,100.0,6.247260067665913,100.0,20.610135214170477,1.0,15696,l2_key_prefill_only,3,1.0
1.0,0.0,100.0,5.705402947231738,100.0,21.93636604939151,1.0,15684,l2_leverage,15,1.0
1.0,0.0,100.0,5.501030374193681,100.0,21.95427015488888,1.0,15687,l2_leverage,27,1.0
1.0,0.0,100.0,5.8180824820085855,100.0,21.397624431472284,1.0,15690,l2_leverage,9,1.0
1.0,0.0,100.0,6.139527155208771,100.0,20.699319424573144,1.0,15693,l2_leverage,6,1.0
1.0,0.0,100.0,6.347320757042067,100.0,21.027539868838616,1.0,15696,l2_leverage,3,1.0
1.0,0.0,100.0,5.703881958201895,100.0,22.14778427831453,1.0,15684,l2_prefill_only,15,1.0
1.0,0.0,100.0,5.495519576294934,100.0,22.114246221384548,1.0,15687,l2_prefill_only,27,1.0
1.0,0.0,100.0,5.8152932571547105,100.0,21.893139258203966,1.0,15690,l2_prefill_only,9,1.0
1.0,0.0,100.0,6.102096520984578,100.0,22.410076479924754,1.0,15693,l2_prefill_only,6,1.0
1.0,0.0,100.0,6.352430369406673,100.0,20.784187060739857,1.0,15696,l2_prefill_only,3,1.0
0.0,0.0,0.0,15.998636406629647,0.0,11.692330135050828,0.0,15684,pyramidkv,15,0.0
0.1111111111111111,0.0,11.11111111111111,21.319254806574598,11.11111111111111,12.20878828275514,0.1111111111111111,15687,pyramidkv,27,0.1111111111111111
0.3333333333333333,0.0,33.333333333333336,13.437560536010926,33.333333333333336,12.23288018838786,0.3333333333333333,15690,pyramidkv,9,0.3333333333333333
0.3333333333333333,0.0,33.333333333333336,24.704206411741414,33.333333333333336,12.640841806230023,0.3333333333333333,15693,pyramidkv,6,0.3333333333333333
0.0,0.0,0.0,27.415454854721077,0.0,12.958069003510806,0.0,15696,pyramidkv,3,0.0
0.0,0.0,0.0,112.0520486396972,0.0,22.16078307122299,0.0,15684,random,15,0.0
0.0,0.0,0.0,44.45986789764576,0.0,21.847388097515243,0.0,15687,random,27,0.0
0.0,0.0,0.0,343.5719165348293,0.0,21.277158791987624,0.0,15690,random,9,0.0
0.0,0.0,0.0,81.65369352611339,0.0,20.92891929972299,0.0,15693,random,6,0.0
0.0,0.0,0.0,113.27012060037059,0.0,20.708989741802814,0.0,15696,random,3,0.0
0.0,0.0,0.0,162.81472127771505,0.0,23.39211584705849,0.0,15684,recency,15,0.0
0.037037037037037035,0.0,3.7037037037037037,186.92184047791275,3.7037037037037037,23.35264411448009,0.037037037037037035,15687,recency,27,0.037037037037037035
0.0,0.0,0.0,231.82739702702526,0.0,23.42023971580099,0.0,15690,recency,9,0.0
0.0,0.0,0.0,181.2538266841865,0.0,22.66864173360814,0.0,15693,recency,6,0.0
0.0,0.0,0.0,116.21862092133642,0.0,22.979099903141435,0.0,15696,recency,3,0.0
0.0,0.0,0.0,150.97108228367682,0.0,23.206216762804743,0.0,15684,sink_recent,15,0.0
0.037037037037037035,0.0,3.7037037037037037,198.47148514519483,3.7037037037037037,23.261910674880053,0.037037037037037035,15687,sink_recent,27,0.037037037037037035
0.0,0.0,0.0,167.52925963135633,0.0,23.21867024366932,0.0,15690,sink_recent,9,0.0
0.0,0.0,0.0,164.07143876633856,0.0,22.959724043182586,0.0,15693,sink_recent,6,0.0
0.0,0.0,0.0,175.48084592728915,0.0,23.07677782140871,0.0,15696,sink_recent,3,0.0
0.26666666666666666,0.0,26.666666666666668,8.718747395304417,26.666666666666668,12.789001864508366,0.26666666666666666,15684,snapkv,15,0.26666666666666666
0.4444444444444444,0.0,44.44444444444444,9.453943933162853,44.44444444444444,12.167114009131305,0.4444444444444444,15687,snapkv,27,0.4444444444444444
0.7777777777777778,0.0,77.77777777777777,6.5168833574879175,77.77777777777777,12.47629463138938,0.7777777777777778,15690,snapkv,9,0.7777777777777778
0.3333333333333333,0.0,33.333333333333336,11.051939494997162,33.333333333333336,11.674331497254101,0.3333333333333333,15693,snapkv,6,0.3333333333333333
0.3333333333333333,0.0,33.333333333333336,13.091312377944554,33.333333333333336,12.378478797223167,0.3333333333333333,15696,snapkv,3,0.3333333333333333
