accuracy,avg_evidence_recall,avg_official_score,avg_ppl,avg_primary_score,avg_tokens_per_second,contains_ground_truth,context_length,method,n,official_accuracy
0.5333333333333333,0.0,53.333333333333336,28.83183751163417,53.333333333333336,13.639116502851362,0.5333333333333333,15684,attention,15,0.5333333333333333
0.5925925925925926,0.0,59.25925925925926,24.961705028363642,59.25925925925926,13.278204744613761,0.5925925925925926,15687,attention,27,0.5925925925925926
0.6666666666666666,0.0,66.66666666666667,24.10021713186199,66.66666666666667,13.172143669762855,0.6666666666666666,15690,attention,9,0.6666666666666666
0.6666666666666666,0.0,66.66666666666667,32.53062134046244,66.66666666666667,14.340705227364209,0.6666666666666666,15693,attention,6,0.6666666666666666
0.6666666666666666,0.0,66.66666666666667,15.185570715181049,66.66666666666667,10.771706917844122,0.6666666666666666,15696,attention,3,0.6666666666666666
1.0,0.0,100.0,5.354226692760425,100.0,13.686564643669946,1.0,15684,attention_l1,15,1.0
1.0,0.0,100.0,5.214748679986635,100.0,13.895299293845378,1.0,15687,attention_l1,27,1.0
1.0,0.0,100.0,5.555065210142322,100.0,13.262461189144844,1.0,15690,attention_l1,9,1.0
1.0,0.0,100.0,5.818777429961632,100.0,11.679858029685926,1.0,15693,attention_l1,6,1.0
1.0,0.0,100.0,6.41308502592031,100.0,12.42532910518001,1.0,15696,attention_l1,3,1.0
1.0,0.0,100.0,5.463899242437029,100.0,12.972433169959006,1.0,15684,attention_l2,15,1.0
1.0,0.0,100.0,5.262388608584405,100.0,13.84762877410868,1.0,15687,attention_l2,27,1.0
1.0,0.0,100.0,5.543393988559793,100.0,13.4290000681924,1.0,15690,attention_l2,9,1.0
1.0,0.0,100.0,5.769424956598044,100.0,13.087940115284107,1.0,15693,attention_l2,6,1.0
1.0,0.0,100.0,6.264455865184239,100.0,12.176744899787776,1.0,15696,attention_l2,3,1.0
0.0,0.0,0.0,65.6636454108377,0.0,16.58088929004278,0.0,15684,compactor,15,0.0
0.0,0.0,0.0,43.1680030139862,0.0,17.024224562152448,0.0,15687,compactor,27,0.0
0.0,0.0,0.0,59.05854415402587,0.0,17.129864214640005,0.0,15690,compactor,9,0.0
0.0,0.0,0.0,111.76258535654442,0.0,17.334874429773027,0.0,15693,compactor,6,0.0
0.0,0.0,0.0,54.03741331938968,0.0,16.080229317766086,0.0,15696,compactor,3,0.0
1.0,0.0,100.0,5.582530254831671,100.0,11.544136200460205,1.0,15684,full,15,1.0
1.0,0.0,100.0,5.43119472645853,100.0,11.48683900675753,1.0,15687,full,27,1.0
1.0,0.0,100.0,5.7260260602650375,100.0,11.331040274939475,1.0,15690,full,9,1.0
1.0,0.0,100.0,6.055890298169325,100.0,11.454751246893869,1.0,15693,full,6,1.0
1.0,0.0,100.0,6.271010462790426,100.0,11.190077837156345,1.0,15696,full,3,1.0
1.0,0.0,100.0,5.637871739096186,100.0,21.954104549273314,1.0,15684,l1_leverage,15,1.0
1.0,0.0,100.0,5.533575735122973,100.0,21.508144676293803,1.0,15687,l1_leverage,27,1.0
1.0,0.0,100.0,5.899984140113058,100.0,21.608389213190605,1.0,15690,l1_leverage,9,1.0
1.0,0.0,100.0,6.1849923502242605,100.0,20.74501915716054,1.0,15693,l1_leverage,6,1.0
1.0,0.0,100.0,6.436866515508217,100.0,20.72937382372216,1.0,15696,l1_leverage,3,1.0
1.0,0.0,100.0,5.637871739096186,100.0,21.28147850443168,1.0,15684,l1_prefill_only,15,1.0
1.0,0.0,100.0,5.533575735122973,100.0,22.05226878802537,1.0,15687,l1_prefill_only,27,1.0
1.0,0.0,100.0,5.899984140113058,100.0,22.12124186402139,1.0,15690,l1_prefill_only,9,1.0
1.0,0.0,100.0,6.1849923502242605,100.0,21.00395427755174,1.0,15693,l1_prefill_only,6,1.0
1.0,0.0,100.0,6.436866515508217,100.0,20.734490761740762,1.0,15696,l1_prefill_only,3,1.0
1.0,0.0,100.0,5.683429933265279,100.0,21.797529594402082,1.0,15684,l2_key_prefill_only,15,1.0
