method,attention,attention_l1,attention_l2,compactor,full,l1_prefill_only,l2_prefill_only,snapkv
attention,1.0,0.4645864150883334,0.5057859928264183,0.22062104712720948,0.14904674467938608,0.298081825540058,0.36104043067147334,0.3131319827025385
attention_l1,0.4645864150883334,1.0,0.7298062522284491,0.18331081169189614,0.12080901139335955,0.5542401931563997,0.5409773984128013,0.22599099664420355
attention_l2,0.5057859928264183,0.7298062522284491,1.0,0.15415828571117446,0.1010482159654528,0.4154074649578536,0.5776844919574244,0.21667447513884353
compactor,0.22062104712720948,0.18331081169189614,0.15415828571117446,1.0,0.4167227058679738,0.2214781814750835,0.17197634809905044,0.31720344501855074
full,0.14904674467938608,0.12080901139335955,0.1010482159654528,0.4167227058679738,1.0,0.14596076572753372,0.10744964320183752,0.3741630810384737
l1_prefill_only,0.298081825540058,0.5542401931563997,0.4154074649578536,0.2214781814750835,0.14596076572753372,1.0,0.5541820632148177,0.1962456079003072
l2_prefill_only,0.36104043067147334,0.5409773984128013,0.5776844919574244,0.17197634809905044,0.10744964320183752,0.5541820632148177,1.0,0.17915203011244543
snapkv,0.3131319827025385,0.22599099664420355,0.21667447513884353,0.31720344501855074,0.3741630810384737,0.1962456079003072,0.17915203011244543,1.0
