accuracy,avg_evidence_recall,avg_official_score,avg_ppl,avg_primary_score,avg_tokens_per_second,budget,contains_ground_truth,method,n,official_accuracy
1.0,0.0,100.0,1.044076000981543,100.0,4.836327069447989,1024,1.0,attention,10,1.0
0.1,0.0,56.0,5.551608729316027,56.0,5.198343746564797,256,0.9,attention,10,0.1
1.0,0.0,100.0,1.095847957787906,100.0,4.9457221111441205,512,1.0,attention,10,1.0
1.0,0.0,100.0,1.0567438828631797,100.0,5.196254659391101,1024,1.0,attention_l1,10,1.0
0.5,0.0,86.0,1.4177186122724952,86.0,5.135168971313172,256,1.0,attention_l1,10,0.5
0.9,0.0,98.0,1.1448603228105472,98.0,4.994662400658213,512,1.0,attention_l1,10,0.9
1.0,0.0,100.0,1.0582882044648436,100.0,4.270357076398456,1024,1.0,attention_l2,10,1.0
0.2,0.0,80.0,1.3268283644325702,80.0,4.818108238961571,256,1.0,attention_l2,10,0.2
0.8,0.0,96.0,1.1716369892420775,96.0,5.105225908189149,512,1.0,attention_l2,10,0.8
0.6,0.0,90.0,1.465511860506665,90.0,14.9661027132535,1024,0.9,compactor,10,0.6
0.0,0.0,2.0,54.85947290582237,2.0,15.622435632402311,256,0.1,compactor,10,0.0
0.1,0.0,24.0,9.829978674354205,24.0,16.472311096650778,512,0.2,compactor,10,0.1
0.9,0.0,98.0,1.0669975668475884,98.0,11.28636085094256,1024,1.0,full,10,0.9
0.9,0.0,98.0,1.0669975668475884,98.0,10.730901563292704,256,1.0,full,10,0.9
0.9,0.0,98.0,1.0669975668475884,98.0,11.147263454002863,512,1.0,full,10,0.9
0.8,0.0,96.0,1.1483246000562315,96.0,17.553593574268813,1024,1.0,l1_prefill_only,10,0.8
0.6,0.0,92.0,1.3605236525071926,92.0,20.671282266415197,256,0.9,l1_prefill_only,10,0.6
0.6,0.0,86.0,1.1980894119842158,86.0,21.26559484689296,512,0.9,l1_prefill_only,10,0.6
0.9,0.0,98.0,1.0630224194290145,98.0,18.73297687368716,1024,1.0,l2_prefill_only,10,0.9
1.0,0.0,100.0,1.2248686427617916,100.0,21.387188514407203,256,1.0,l2_prefill_only,10,1.0
0.8,0.0,94.0,1.150695689384442,94.0,20.523840038431032,512,0.9,l2_prefill_only,10,0.8
0.7,0.0,94.0,1.3463559352048917,94.0,4.754211293151898,1024,1.0,snapkv,10,0.7
0.0,0.0,38.0,10.8705340212503,38.0,4.5249962745302765,256,0.7,snapkv,10,0.0
0.4,0.0,88.0,1.7440617773432199,88.0,4.450195229612949,512,1.0,snapkv,10,0.4
