experiment_name,run_id,sample_id,model_name,model_family,backend,quant_bits,method,method_family,budget,benchmark,context_length,needle_depth,ppl,mean_nll,contains_ground_truth,exact_match,answer_f1,correct,official_score,official_correct,official_metric_name,official_metric_implementation,dataset_official,primary_metric,primary_score,evidence_recall,evidence_precision,max_kv_len,final_kv_len,avg_kv_len,total_time_s,prefill_time_s,decode_time_s,eviction_time_s,score_time_s,topk_time_s,cache_rebuild_time_s,tokens_per_second,avg_ms_per_token,score_update_count,eviction_count,skipped,skipped_reason,unsupported_reason,oracle
official_ruler_niah_single_qwen25_7b,20260611_225910,0,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15687,,5.720982892597131,1.744140625,True,False,0.021052631578947368,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15806,15806,15742.5,179.140654875,83.724514417,10.7931261250001,0.0,0.0,0.0,0.0,11.859400003073606,84.32129785156329,0,15679,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,1,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15693,,6.457449173295932,1.865234375,True,False,0.0,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15812,15812,15748.5,181.374816958,85.32085470800001,10.755562706000035,0.0,0.0,0.0,0.0,11.90081853444959,84.02783364062527,0,15685,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,2,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15687,,5.058620157678194,1.62109375,True,False,0.0196078431372549,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15806,15806,15742.5,182.12390458299996,85.61112608399998,11.475665003000074,0.0,0.0,0.0,0.0,11.154037693374375,89.65363283593808,0,15679,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,3,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15687,,5.1483273473571085,1.638671875,True,False,0.0,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15806,15806,15742.5,178.96014279200006,83.91096683399996,10.739375873999734,0.0,0.0,0.0,0.0,11.918755940919326,83.90137401562292,0,15679,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,4,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15687,,6.793835283244129,1.916015625,True,False,0.0,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15806,15806,15742.5,178.99168279100013,83.94225449999999,10.782882749999658,0.0,0.0,0.0,0.0,11.870666033162983,84.24127148437233,0,15679,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,5,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15690,,6.042562186131676,1.798828125,True,False,0.0,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15809,15809,15745.5,180.56504229100005,84.30391520899991,11.158689207000407,0.0,0.0,0.0,0.0,11.470881357614939,87.17725942969068,0,15682,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,6,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15690,,5.128255921182873,1.634765625,True,False,0.021276595744680854,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15809,15809,15745.5,185.02249016700011,87.11441187499986,12.613707743001214,0.0,0.0,0.0,0.0,10.147690322936292,98.54459174219699,0,15682,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,7,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15687,,4.587969263865388,1.5234375,True,False,0.02150537634408602,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15806,15806,15742.5,181.38850954100008,85.75165954099998,11.136338164000563,0.0,0.0,0.0,0.0,11.493903841190281,87.0026419062544,0,15679,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,8,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15693,,5.654331423042719,1.732421875,True,False,0.020202020202020204,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15812,15812,15748.5,184.74407729199993,86.13734333299999,11.463012088998312,0.0,0.0,0.0,0.0,11.16634956032618,89.55478194529931,0,15685,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,9,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15690,,6.007260073480564,1.79296875,True,False,0.0,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15809,15809,15745.5,180.30252462399994,84.69343620900008,11.20214983800065,0.0,0.0,0.0,0.0,11.42637813732773,87.51679560938008,0,15682,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,10,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15687,,5.270416412044913,1.662109375,True,False,0.0,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15806,15806,15742.5,180.45919954099986,85.07601170899989,11.21915599700219,0.0,0.0,0.0,0.0,11.409057868007379,87.64965622657961,0,15679,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,11,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15684,,5.448348308054142,1.6953125,True,False,0.021276595744680854,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15803,15803,15739.5,179.7835275,83.81160837499988,11.226464121002664,0.0,0.0,0.0,0.0,11.401630880424351,87.70675094533331,0,15676,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,12,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15687,,6.089954588733513,1.806640625,True,False,0.0,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15806,15806,15742.5,179.71396608399982,83.91926070799991,11.152908664001643,0.0,0.0,0.0,0.0,11.476826705588193,87.13209893751284,0,15679,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,13,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15684,,5.15839250025867,1.640625,True,False,0.0,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15803,15803,15739.5,181.80538491599964,84.04680016700013,11.6251471699984,0.0,0.0,0.0,0.0,11.010613296177103,90.8214622656125,0,15676,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,14,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15687,,5.249869005715721,1.658203125,True,False,0.01941747572815534,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15806,15806,15742.5,182.71468316699975,85.64485187500031,11.06617245100233,0.0,0.0,0.0,0.0,11.566781610059426,86.4544722734557,0,15679,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,15,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15684,,6.754144051095517,1.91015625,True,False,0.0,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15803,15803,15739.5,183.0640117910002,85.7068678329997,11.117776993995449,0.0,0.0,0.0,0.0,11.513092956364474,86.85763276558944,0,15676,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,16,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15684,,5.6103290668115555,1.724609375,True,False,0.0,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15803,15803,15739.5,180.6380803330003,84.62294937499973,10.918178955000258,0.0,0.0,0.0,0.0,11.723566771304764,85.29827308593951,0,15676,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,17,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15684,,4.941437347938466,1.59765625,True,False,0.0,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15803,15803,15739.5,178.7914527920002,83.77554520800004,10.752887669996653,0.0,0.0,0.0,0.0,11.903779145499048,84.00693492184885,0,15676,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,18,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15696,,6.271010462790426,1.8359375,True,False,0.0,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15815,15815,15751.5,180.06142758299984,84.1536687910002,11.232044874000167,0.0,0.0,0.0,0.0,11.395965866936058,87.7503505781263,0,15688,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,19,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,full,recency,128,ruler,15687,,4.960777586890675,1.6015625,True,False,0.0,True,100.0,True,string_match_all,ruler_public_string_match,True,string_match_all,100.0,0.0,0.0,15806,15806,15742.5,183.56091308299983,84.61864133300014,11.930628287002037,0.0,0.0,0.0,0.0,10.72868896095364,93.20803349220341,0,15679,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,0,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,random,random,128,ruler,15687,,41.37414835829223,3.72265625,False,False,0.0,False,0.0,False,string_match_all,ruler_public_string_match,True,string_match_all,0.0,0.0,0.0,128,128,128.0,178.45662437500005,85.72584908399995,5.791167553003106,1.5502552800016929,0.0030987520249254885,0.2207093770030042,0.7191083710076782,22.102624182169183,45.24349650783677,0,3612,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,1,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,random,random,128,ruler,15693,,163.3186376798433,5.095703125,False,False,0.0,False,0.0,False,string_match_all,ruler_public_string_match,True,string_match_all,0.0,0.0,0.0,128,128,128.0,176.08211412499986,85.328389625,5.911450797000725,1.4855005470012657,0.002797571014980349,0.1732734580041324,0.6825074870148455,21.65289104071423,46.183209351568166,0,3612,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,2,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,random,random,128,ruler,15687,,44.258129075384545,3.7900390625,False,False,0.0,False,0.0,False,string_match_all,ruler_public_string_match,True,string_match_all,0.0,0.0,0.0,128,128,128.0,174.4815352090004,83.14688416699983,5.460790332999295,1.489120204998926,0.0028689800083157024,0.1742064119916904,0.6831272460131004,23.439830536342352,42.66242447655699,0,3612,False,,,False
official_ruler_niah_single_qwen25_7b,20260611_225910,3,mlx-community/Qwen2.5-7B-Instruct-4bit,qwen,mlx,4,random,random,128,ruler,15687,,30.95755855285056,3.4326171875,False,False,0.0,False,0.0,False,string_match_all,ruler_public_string_match,True,string_match_all,0.0,0.0,0.0,128,128,128.0,177.99619020799946,86.07811241699983,5.595956873999057,1.5101921710020179,0.002995647977513727,0.17798644602498825,0.6871006489664069,22.873657335483884,43.718413078117635,0,3612,False,,,False
